회차,추첨일,1,2,3,4,5,6,보너스
1071,2023.06.10,1.0,2.0,11.0,21.0,30.0,35.0,39
1070,2023.06.03,3.0,6.0,14.0,22.0,30.0,41.0,36
1069,2023.05.27,1.0,10.0,18.0,22.0,28.0,31.0,44
1068,2023.05.20,4.0,7.0,19.0,26.0,33.0,35.0,3
1067,2023.05.13,7.0,10.0,19.0,23.0,28.0,33.0,18
1066,2023.05.06,6.0,11.0,16.0,19.0,21.0,32.0,45
1065,2023.04.29,3.0,18.0,19.0,23.0,32.0,45.0,24
1064,2023.04.22,3.0,6.0,9.0,18.0,22.0,35.0,14
1063,2023.04.15,3.0,6.0,22.0,23.0,24.0,38.0,30
1062,2023.04.08,20.0,31.0,32.0,40.0,41.0,45.0,12
1061,2023.04.01,4.0,24.0,27.0,35.0,37.0,45.0,15
1060,2023.03.25,3.0,10.0,24.0,33.0,38.0,45.0,36
1059,2023.03.18,7.0,10.0,22.0,25.0,34.0,40.0,27
1058,2023.03.11,11.0,23.0,25.0,30.0,32.0,40.0,42
1057,2023.03.04,8.0,13.0,19.0,27.0,40.0,45.0,12
1056,2023.02.25,13.0,20.0,24.0,32.0,36.0,45.0,29
1055,2023.02.18,4.0,7.0,12.0,14.0,22.0,33.0,31
1054,2023.02.11,14.0,19.0,27.0,28.0,30.0,45.0,33
1053,2023.02.04,22.0,26.0,29.0,30.0,34.0,45.0,15
1052,2023.01.28,5.0,17.0,26.0,27.0,35.0,38.0,1
1051,2023.01.21,21.0,26.0,30.0,32.0,33.0,35.0,44
1050,2023.01.14,6.0,12.0,31.0,35.0,38.0,43.0,17
1049,2023.01.07,3.0,5.0,13.0,20.0,21.0,37.0,17
1048,2022.12.31,6.0,12.0,17.0,21.0,32.0,39.0,30
1047,2022.12.24,2.0,20.0,33.0,40.0,42.0,44.0,32
1046,2022.12.17,7.0,16.0,25.0,29.0,35.0,36.0,28
1045,2022.12.10,6.0,14.0,15.0,19.0,21.0,41.0,37
1044,2022.12.03,12.0,17.0,20.0,26.0,28.0,36.0,4
1043,2022.11.26,3.0,5.0,12.0,22.0,26.0,31.0,19
1042,2022.11.19,5.0,14.0,15.0,23.0,34.0,43.0,4
1041,2022.11.12,6.0,7.0,9.0,11.0,17.0,18.0,45
1040,2022.11.05,8.0,16.0,26.0,29.0,31.0,36.0,11
1039,2022.10.29,2.0,3.0,6.0,19.0,36.0,39.0,26
1038,2022.10.22,7.0,16.0,24.0,27.0,37.0,44.0,2
1037,2022.10.15,2.0,14.0,15.0,22.0,27.0,33.0,31
1036,2022.10.08,2.0,5.0,22.0,32.0,34.0,45.0,39
1035,2022.10.01,9.0,14.0,34.0,35.0,41.0,42.0,2
1034,2022.09.24,26.0,31.0,32.0,33.0,38.0,40.0,11
1033,2022.09.17,3.0,11.0,15.0,20.0,35.0,44.0,10
1032,2022.09.10,1.0,6.0,12.0,19.0,36.0,42.0,28
1031,2022.09.03,6.0,7.0,22.0,32.0,35.0,36.0,19
1030,2022.08.27,2.0,5.0,11.0,17.0,24.0,29.0,9
1029,2022.08.20,12.0,30.0,32.0,37.0,39.0,41.0,24
1028,2022.08.13,5.0,7.0,12.0,13.0,18.0,35.0,23
1027,2022.08.06,14.0,16.0,27.0,35.0,39.0,45.0,5
1026,2022.07.30,5.0,12.0,13.0,31.0,32.0,41.0,34
1025,2022.07.23,8.0,9.0,20.0,25.0,29.0,33.0,7
1024,2022.07.16,9.0,18.0,20.0,22.0,38.0,44.0,10
1023,2022.07.09,10.0,14.0,16.0,18.0,29.0,35.0,25
1022,2022.07.02,5.0,6.0,11.0,29.0,42.0,45.0,28
1021,2022.06.25,12.0,15.0,17.0,24.0,29.0,45.0,16
1020,2022.06.18,12.0,27.0,29.0,38.0,41.0,45.0,6
1019,2022.06.11,1.0,4.0,13.0,17.0,34.0,39.0,6
1018,2022.06.04,3.0,19.0,21.0,25.0,37.0,45.0,35
1017,2022.05.28,12.0,18.0,22.0,23.0,30.0,34.0,32
1016,2022.05.21,15.0,26.0,28.0,34.0,41.0,42.0,44
1015,2022.05.14,14.0,23.0,31.0,33.0,37.0,40.0,44
1014,2022.05.07,3.0,11.0,14.0,18.0,26.0,27.0,21
1013,2022.04.30,21.0,22.0,26.0,34.0,36.0,41.0,32
1012,2022.04.23,5.0,11.0,18.0,20.0,35.0,45.0,3
1011,2022.04.16,1.0,9.0,12.0,26.0,35.0,38.0,42
1010,2022.04.09,9.0,12.0,15.0,25.0,34.0,36.0,3
1009,2022.04.02,15.0,23.0,29.0,34.0,40.0,44.0,20
1008,2022.03.26,9.0,11.0,30.0,31.0,41.0,44.0,33
1007,2022.03.19,8.0,11.0,16.0,19.0,21.0,25.0,40
1006,2022.03.12,8.0,11.0,15.0,16.0,17.0,37.0,36
1005,2022.03.05,8.0,13.0,18.0,24.0,27.0,29.0,17
1004,2022.02.26,7.0,15.0,30.0,37.0,39.0,44.0,18
1003,2022.02.19,1.0,4.0,29.0,39.0,43.0,45.0,31
1002,2022.02.12,17.0,25.0,33.0,35.0,38.0,45.0,15
1001,2022.02.05,6.0,10.0,12.0,14.0,20.0,42.0,15
1000,2022.01.29,2.0,8.0,19.0,22.0,32.0,42.0,39
999,2022.01.22,1.0,3.0,9.0,14.0,18.0,28.0,34
998,2022.01.15,13.0,17.0,18.0,20.0,42.0,45.0,41
997,2022.01.08,4.0,7.0,14.0,16.0,24.0,44.0,20
996,2022.01.01,6.0,11.0,15.0,24.0,32.0,39.0,28
995,2021.12.25,1.0,4.0,13.0,29.0,38.0,39.0,7
994,2021.12.18,1.0,3.0,8.0,24.0,27.0,35.0,28
993,2021.12.11,6.0,14.0,16.0,18.0,24.0,42.0,44
992,2021.12.04,12.0,20.0,26.0,33.0,44.0,45.0,24
991,2021.11.27,13.0,18.0,25.0,31.0,33.0,44.0,38
990,2021.11.20,2.0,4.0,25.0,26.0,36.0,37.0,28
989,2021.11.13,17.0,18.0,21.0,27.0,29.0,33.0,26
988,2021.11.06,2.0,13.0,20.0,30.0,31.0,41.0,27
987,2021.10.30,2.0,4.0,15.0,23.0,29.0,38.0,7
986,2021.10.23,7.0,10.0,16.0,28.0,41.0,42.0,40
985,2021.10.16,17.0,21.0,23.0,30.0,34.0,44.0,19
984,2021.10.09,3.0,10.0,23.0,35.0,36.0,37.0,18
983,2021.10.02,13.0,23.0,26.0,31.0,35.0,43.0,15
982,2021.09.25,5.0,7.0,13.0,20.0,21.0,44.0,33
981,2021.09.18,27.0,36.0,37.0,41.0,43.0,45.0,32
980,2021.09.11,3.0,13.0,16.0,23.0,24.0,35.0,14
979,2021.09.04,7.0,11.0,16.0,21.0,27.0,33.0,24
978,2021.08.28,1.0,7.0,15.0,32.0,34.0,42.0,8
977,2021.08.21,2.0,9.0,10.0,14.0,22.0,44.0,16
