회차,추첨일,1,2,3,4,5,6,보너스,sum,odd_count,even_count,high_count,low_count,consecutive_count,prime_count
1095,2023.11.25,8,14,28,29,34,40,12,153,1,5,4,2,1,1
1094,2023.11.18,6,7,15,22,26,40,41,116,2,4,2,4,1,1
1093,2023.11.11,10,17,22,30,35,43,44,157,3,3,3,3,0,2
1092,2023.11.04,7,18,19,26,33,45,37,148,4,2,3,3,1,2
1091,2023.10.28,6,20,23,24,28,30,44,131,1,5,4,2,1,1
1090,2023.10.21,12,19,21,29,40,45,1,166,4,2,3,3,0,2
1089,2023.10.14,4,18,31,37,42,43,40,175,3,3,4,2,1,3
1088,2023.10.07,11,21,22,30,39,44,31,167,3,3,3,3,1,1
1087,2023.09.30,13,14,18,21,34,44,16,144,2,4,2,4,1,1
1086,2023.09.23,11,16,25,27,35,36,37,150,4,2,4,2,1,1
1085,2023.09.16,4,7,17,18,38,44,36,128,2,4,2,4,1,2
1084,2023.09.09,8,12,13,29,33,42,5,137,3,3,3,3,1,2
1083,2023.09.02,3,7,14,15,22,38,17,99,3,3,1,5,1,2
1082,2023.08.26,21,26,27,32,34,42,31,182,2,4,5,1,1,0
1081,2023.08.19,1,9,16,23,24,38,17,111,3,3,3,3,1,1
1080,2023.08.12,13,16,23,31,36,44,38,163,3,3,4,2,0,3
1079,2023.08.05,4,8,18,24,37,45,6,136,2,4,3,3,0,1
1078,2023.07.29,6,10,11,14,36,38,43,115,1,5,2,4,1,1
1077,2023.07.22,4,8,17,30,40,43,34,142,2,4,3,3,0,2
1076,2023.07.15,3,7,9,33,36,37,10,125,5,1,3,3,1,3
1075,2023.07.08,1,23,24,35,44,45,10,172,4,2,5,1,2,1
1074,2023.07.01,1,6,20,27,28,41,15,123,3,3,3,3,1,1
1073,2023.06.24,6,18,28,30,32,38,15,152,0,6,4,2,0,0
1072,2023.06.17,16,18,20,23,32,43,27,152,2,4,3,3,0,2
1071,2023.06.10,1,2,11,21,30,35,39,100,4,2,2,4,1,2
1070,2023.06.03,3,6,14,22,30,41,36,116,2,4,2,4,0,2
1069,2023.05.27,1,10,18,22,28,31,44,110,2,4,2,4,0,1
1068,2023.05.20,4,7,19,26,33,35,3,124,4,2,3,3,0,2
1067,2023.05.13,7,10,19,23,28,33,18,120,4,2,3,3,0,3
1066,2023.05.06,6,11,16,19,21,32,45,105,3,3,1,5,0,2
1065,2023.04.29,3,18,19,23,32,45,24,140,4,2,3,3,1,3
1064,2023.04.22,3,6,9,18,22,35,14,93,3,3,1,5,0,1
1063,2023.04.15,3,6,22,23,24,38,30,116,2,4,3,3,2,2
1062,2023.04.08,20,31,32,40,41,45,12,209,3,3,5,1,2,2
1061,2023.04.01,4,24,27,35,37,45,15,172,4,2,5,1,0,1
1060,2023.03.25,3,10,24,33,38,45,36,153,3,3,4,2,0,1
1059,2023.03.18,7,10,22,25,34,40,27,138,2,4,3,3,0,1
1058,2023.03.11,11,23,25,30,32,40,42,161,3,3,5,1,0,2
1057,2023.03.04,8,13,19,27,40,45,12,152,4,2,3,3,0,2
1056,2023.02.25,13,20,24,32,36,45,29,170,2,4,4,2,0,1
1055,2023.02.18,4,7,12,14,22,33,31,92,2,4,1,5,0,1
1054,2023.02.11,14,19,27,28,30,45,33,163,3,3,4,2,1,1
1053,2023.02.04,22,26,29,30,34,45,15,186,2,4,5,1,1,1
1052,2023.01.28,5,17,26,27,35,38,1,148,4,2,4,2,1,2
1051,2023.01.21,21,26,30,32,33,35,44,177,3,3,5,1,1,0
1050,2023.01.14,6,12,31,35,38,43,17,165,3,3,4,2,0,2
1049,2023.01.07,3,5,13,20,21,37,17,99,5,1,1,5,1,4
1048,2022.12.31,6,12,17,21,32,39,30,127,3,3,2,4,0,1
1047,2022.12.24,2,20,33,40,42,44,32,181,1,5,4,2,0,1
1046,2022.12.17,7,16,25,29,35,36,28,148,4,2,4,2,1,2
1045,2022.12.10,6,14,15,19,21,41,37,116,4,2,1,5,1,2
1044,2022.12.03,12,17,20,26,28,36,4,139,1,5,3,3,0,1
1043,2022.11.26,3,5,12,22,26,31,19,99,3,3,2,4,0,3
1042,2022.11.19,5,14,15,23,34,43,4,134,4,2,3,3,1,3
1041,2022.11.12,6,7,9,11,17,18,45,68,4,2,0,6,2,3
1040,2022.11.05,8,16,26,29,31,36,11,146,2,4,4,2,0,2
1039,2022.10.29,2,3,6,19,36,39,26,105,3,3,2,4,1,3
1038,2022.10.22,7,16,24,27,37,44,2,155,3,3,4,2,0,2
1037,2022.10.15,2,14,15,22,27,33,31,113,3,3,2,4,1,1
1036,2022.10.08,2,5,22,32,34,45,39,140,2,4,3,3,0,2
1035,2022.10.01,9,14,34,35,41,42,2,175,3,3,4,2,2,1
1034,2022.09.24,26,31,32,33,38,40,11,200,2,4,6,0,2,1
1033,2022.09.17,3,11,15,20,35,44,10,128,4,2,2,4,0,2
1032,2022.09.10,1,6,12,19,36,42,28,116,2,4,2,4,0,1
1031,2022.09.03,6,7,22,32,35,36,19,138,2,4,3,3,2,1
1030,2022.08.27,2,5,11,17,24,29,9,88,4,2,2,4,0,5
1029,2022.08.20,12,30,32,37,39,41,24,191,3,3,5,1,0,2
1028,2022.08.13,5,7,12,13,18,35,23,90,4,2,1,5,1,3
1027,2022.08.06,14,16,27,35,39,45,5,176,4,2,4,2,0,0
1026,2022.07.30,5,12,13,31,32,41,34,134,4,2,3,3,2,4
1025,2022.07.23,8,9,20,25,29,33,7,124,4,2,3,3,1,1
1024,2022.07.16,9,18,20,22,38,44,10,151,1,5,2,4,0,0
1023,2022.07.09,10,14,16,18,29,35,25,122,2,4,2,4,0,1
1022,2022.07.02,5,6,11,29,42,45,28,138,4,2,3,3,1,3
1021,2022.06.25,12,15,17,24,29,45,16,142,4,2,3,3,0,2
1020,2022.06.18,12,27,29,38,41,45,6,192,4,2,5,1,0,2
1019,2022.06.11,1,4,13,17,34,39,6,108,4,2,2,4,0,2
1018,2022.06.04,3,19,21,25,37,45,35,150,6,0,3,3,0,3
1017,2022.05.28,12,18,22,23,30,34,32,139,1,5,3,3,1,1
1016,2022.05.21,15,26,28,34,41,42,44,186,2,4,5,1,1,1
1015,2022.05.14,14,23,31,33,37,40,44,178,4,2,5,1,0,3
1014,2022.05.07,3,11,14,18,26,27,21,99,3,3,2,4,1,2
1013,2022.04.30,21,22,26,34,36,41,32,180,2,4,4,2,1,1
1012,2022.04.23,5,11,18,20,35,45,3,134,4,2,2,4,0,2
1011,2022.04.16,1,9,12,26,35,38,42,121,3,3,3,3,0,0
1010,2022.04.09,9,12,15,25,34,36,3,131,3,3,3,3,0,0
1009,2022.04.02,15,23,29,34,40,44,20,185,3,3,5,1,0,2
1008,2022.03.26,9,11,30,31,41,44,33,166,4,2,4,2,1,3
1007,2022.03.19,8,11,16,19,21,25,40,100,4,2,1,5,0,2
1006,2022.03.12,8,11,15,16,17,37,36,104,4,2,1,5,2,3
1005,2022.03.05,8,13,18,24,27,29,17,119,3,3,3,3,0,2
1004,2022.02.26,7,15,30,37,39,44,18,172,4,2,4,2,0,2
1003,2022.02.19,1,4,29,39,43,45,31,161,5,1,4,2,0,2
1002,2022.02.12,17,25,33,35,38,45,15,193,5,1,5,1,0,1
1001,2022.02.05,6,10,12,14,20,42,15,104,0,6,1,5,0,0
1000,2022.01.29,2,8,19,22,32,42,39,125,1,5,2,4,0,2
999,2022.01.22,1,3,9,14,18,28,34,73,3,3,1,5,0,1
998,2022.01.15,13,17,18,20,42,45,41,155,3,3,2,4,1,2
997,2022.01.08,4,7,14,16,24,44,20,109,1,5,2,4,0,1
996,2022.01.01,6,11,15,24,32,39,28,127,3,3,3,3,0,1
995,2021.12.25,1,4,13,29,38,39,7,124,4,2,3,3,1,2
994,2021.12.18,1,3,8,24,27,35,28,98,4,2,3,3,0,1
993,2021.12.11,6,14,16,18,24,42,44,120,0,6,2,4,0,0
992,2021.12.04,12,20,26,33,44,45,24,180,2,4,4,2,1,0
991,2021.11.27,13,18,25,31,33,44,38,164,4,2,4,2,0,2
990,2021.11.20,2,4,25,26,36,37,28,130,2,4,4,2,2,2
989,2021.11.13,17,18,21,27,29,33,26,145,5,1,3,3,1,2
988,2021.11.06,2,13,20,30,31,41,27,137,3,3,3,3,1,4
987,2021.10.30,2,4,15,23,29,38,7,111,3,3,3,3,0,3
986,2021.10.23,7,10,16,28,41,42,40,144,2,4,3,3,1,2
985,2021.10.16,17,21,23,30,34,44,19,169,3,3,4,2,0,2
984,2021.10.09,3,10,23,35,36,37,18,144,4,2,4,2,2,3
983,2021.10.02,13,23,26,31,35,43,15,171,5,1,5,1,0,4
982,2021.09.25,5,7,13,20,21,44,33,110,4,2,1,5,1,3
981,2021.09.18,27,36,37,41,43,45,32,229,5,1,6,0,1,3
980,2021.09.11,3,13,16,23,24,35,14,114,4,2,3,3,1,3
979,2021.09.04,7,11,16,21,27,33,24,115,5,1,2,4,0,2
978,2021.08.28,1,7,15,32,34,42,8,131,3,3,3,3,0,1
977,2021.08.21,2,9,10,14,22,44,16,101,1,5,1,5,1,1
976,2021.08.14,4,12,14,25,35,37,2,127,3,3,3,3,0,1
975,2021.08.07,7,8,9,17,22,24,5,87,3,3,1,5,2,2
974,2021.07.31,1,2,11,16,39,44,32,113,3,3,2,4,1,2
973,2021.07.24,22,26,31,37,41,42,24,199,3,3,5,1,1,3
972,2021.07.17,3,6,17,23,37,39,26,125,5,1,3,3,0,4
971,2021.07.10,2,6,17,18,21,26,7,90,2,4,1,5,1,2
970,2021.07.03,9,11,16,21,28,36,5,121,3,3,2,4,0,1
